barcode,ENSG00000270195.1,SLBP
TCGA-66-2783-01,4833.54813851,1013.98
TCGA-77-7337-01,2257.61867285,2363.19
TCGA-18-3412-01,11804.8075079,2147.1
TCGA-77-7138-01,15565.188677899998,1901.08
TCGA-85-8584-01,53771.8204489,1349.11
TCGA-39-5024-01,7081.0409201,2108.68
TCGA-58-8388-01,63013.6597861,1094.05
TCGA-96-A4JK-01,53190.87634630001,1147.26
TCGA-66-2757-01,28183.3628065,3108.3
TCGA-85-A511-01,37550.0575399,1584.5
TCGA-21-1083-01,29407.6130429,1221.84
TCGA-58-8386-01,16305.7823361,1136.54
TCGA-85-A4CN-01,14027.4314214,1371.71
TCGA-98-A53D-01,21906.297883000007,743.133
TCGA-NK-A7XE-01,45240.3135581,1429.2
TCGA-NC-A5HG-01,19791.7903654,1168.13
TCGA-94-8490-01,16733.0591271,869.692
TCGA-77-6845-01,18021.3957923,1255.84
TCGA-77-8139-01,19195.6521013,1549.35
TCGA-22-1011-01,26878.5362074,1025.34
TCGA-21-5782-01,15041.5617152,1325.84
TCGA-60-2695-01,37265.2365231,2395.26
TCGA-NC-A5HF-01,40866.1772013,930.244
TCGA-33-4586-01,5423.19446039,1140.61
TCGA-22-5474-01,4787.81105382,982.778
TCGA-85-8288-01,17880.117896400006,924.006
TCGA-66-2737-01,16316.8958737,1221.85
TCGA-85-8580-01,17661.2293629,979.131
TCGA-85-8048-01,18881.5678135,773.167
TCGA-60-2723-01,3540.84363129,1281.19
TCGA-66-2768-01,8136.26618608,3117.25
TCGA-43-A474-01,18725.2716266,1166.11
TCGA-63-5128-01,3987.89805869,1161.26
TCGA-98-A53J-01,39519.57105940001,831.959
TCGA-85-8481-01,29810.9118702,1110.42
TCGA-63-A5MH-01,17308.5705384,1297.1
TCGA-77-8153-01,25432.9286821,1156.19
TCGA-66-2785-01,36081.7674705,1949.49
TCGA-66-2778-01,0.0,1467.23
TCGA-94-8035-01,5667.64905917,1188.05
TCGA-63-A5MT-01,46612.4408605,1743.63
TCGA-33-4532-01,39778.6785836,2203.9
TCGA-39-5034-01,8332.75256573,2908.87
TCGA-66-2767-01,24732.3308495,922.029
TCGA-66-2800-01,8850.98699569,1363.08
TCGA-56-7823-01,11839.368188200002,1130.46
TCGA-68-7755-01,3321.6990823,950.691
TCGA-18-3417-01,1678.17334188,1154.2
TCGA-39-5031-01,4192.3770009,1317.81
TCGA-63-A5MW-01,50281.6279058,1368.21
TCGA-39-5021-01,17552.5732072,1968.49
TCGA-66-2763-01,18531.5525117,2559.75
TCGA-60-2709-01,12047.1767441,1068.28
TCGA-85-A50M-01,5853.90982637,1110.62
TCGA-85-8354-01,19708.1896703,1182.29
TCGA-85-6798-01,6853.90118783,1418.34
TCGA-34-2596-01,24388.905486900007,2241.95
TCGA-60-2712-01,19289.0826138,978.462
TCGA-77-8138-01,10539.3213974,861.375
TCGA-77-8130-01,0.0,1028.68
TCGA-22-4599-01,24576.6857878,1897.6
TCGA-52-7809-01,33805.1761218,1445.57
TCGA-21-1071-01,17540.4986819,1101.63
TCGA-85-A512-01,25408.6453846,1483.3
TCGA-NC-A5HK-01,39345.8308509,964.187
TCGA-68-7756-01,8840.29050802,813.258
TCGA-22-5489-01,5228.02009651,959.097
TCGA-46-6026-01,11561.7413139,1016.36
TCGA-O2-A52Q-01,32498.2866712,1633.3
TCGA-22-5483-01,12211.1165746,1257.12
TCGA-66-2795-01,6418.95903741,1288.25
TCGA-98-A53H-01,24235.3260047,715.641999999999
TCGA-77-8007-01,23262.7386757,2443.17
TCGA-85-8071-01,17587.804801299993,916.607
TCGA-85-7698-01,9539.3068091,870.33
TCGA-94-8491-01,32531.7972903,1408.1
TCGA-33-4582-01,2684.06585517,1893.0
TCGA-56-5897-01,8346.55644266,1198.12
TCGA-66-2769-01,8787.74090615,1501.32
TCGA-77-8128-01,19586.0544988,1417.85
TCGA-22-4595-01,17457.813920099998,1436.77
TCGA-21-1076-01,15636.2555251,1128.22
TCGA-21-1076-01,15636.2555251,1214.84
TCGA-43-2576-01,38947.5328049,1571.43
TCGA-77-A5G8-01,20578.7107625,1210.64
TCGA-43-6773-01,2808.68994626,805.259
TCGA-33-AASB-01,25542.3314623,1026.61
TCGA-34-7107-01,12841.9074838,1009.51
TCGA-43-7657-01,9672.57455796,1315.25
